G3124	Μάλχος	H4429	G3124	Μάλχος	|
G3125	μάμμη		G3125	μάμμη	|
G3126	μαμμωνᾶς		G3126	μαμμωνᾶς	|
G3127	Μαναήν		G3127	Μαναήν	|
G3128	Μανασσῆς	H4519	G3128	Μανασσῆς	|
G3129	μανθάνω		G3129	μανθάνω	|
G3130	μανία	G3105	G3105	μαίνομαι	|
G3131	μάννα	H4478	G3131	μάννα	|
G3132	μαντεύομαι	G3105	G3105	μαίνομαι	|
G3133	μαραίνω		G3133	μαραίνω	|
G3134	μαρὰν ἀθά		G3134	μαρὰν ἀθά	|
G3135	μαργαρίτης		G3135	μαργαρίτης	|
G3136	Μάρθα		G3136	Μάρθα	|
G3137	Μαριάμ	H4813	G3137	Μαριάμ	|
G3138	Μάρκος		G3138	Μάρκος	|
G3139	μάρμαρος		G3139	μάρμαρος	|
G3140	μαρτυρέω	G3144	G3144	μάρτυς	|
G3141	μαρτυρία	G3144	G3144	μάρτυς	|
G3142	μαρτύριον	G3144	G3144	μάρτυς	|
G3143	μαρτύρομαι	G3144	G3144	μάρτυς	|
G3144	μάρτυς		G3144	μάρτυς	|
G3145	μασσάομαι		G3145	μασσάομαι	|
G3146	μαστιγόω	G3148	G3145	μασσάομαι	|
G3147	μαστίζω	G3149	G3145	μασσάομαι	|
G3148	μάστιξ	G3145	G3145	μασσάομαι	|
G3149	μαστός	G3145	G3145	μασσάομαι	|
G3150	ματαιολογία	G3151	G3145+G3004	μασσάομαι+λέγω	|
G3151	ματαιολόγος	G3152+G3004	G3145+G3004	μασσάομαι+λέγω	|
G3152	μάταιος	G3155	G3145	μασσάομαι	|
G3153	ματαιότης	G3152	G3145	μασσάομαι	|
G3154	ματαιόω	G3152	G3145	μασσάομαι	|
G3155	μάτην	G3145	G3145	μασσάομαι	|
G3156	Ματθαῖος	G3161	G3161	Ματταθίας	|
G3157	Ματθάν	H4977	G3157	Ματθάν	|
G3158	Ματθάτ	G3161	G3161	Ματταθίας	|
G3159	Ματθίας	G3161	G3161	Ματταθίας	|
G3160	Ματταθά	G3161+H4992	G3161	Ματταθίας	|
G3161	Ματταθίας	H4993	G3161	Ματταθίας	|
G3162	μάχαιρα	G3163	G3164	μάχομαι	|
G3163	μάχη	G3164	G3164	μάχομαι	|
G3164	μάχομαι		G3164	μάχομαι	|
G3165	μέ	G1691	G3165	μέ	|
G3166	μεγαλαυχέω	G3173+G837+G2744	G3176+G3176+G837+G2172	μέγιστος+μέγιστος+αὐξάνω+εὔχομαι	|
G3167	μεγαλεῖος	G3173	G3176+G3176	μέγιστος+μέγιστος	|
G3168	μεγαλειότης	G3167	G3176+G3176	μέγιστος+μέγιστος	|
G3169	μεγαλοπρεπής	G3173+G4241	G3176+G3176+G4241	μέγιστος+μέγιστος+πρέπω	|
G3170	μεγαλύνω	G3173	G3176+G3176	μέγιστος+μέγιστος	|
G3171	μεγάλως	G3173	G3176+G3176	μέγιστος+μέγιστος	|
G3172	μεγαλωσύνη	G3173	G3176+G3176	μέγιστος+μέγιστος	|
G3173	μέγας	G3176+G3187	G3176+G3176	μέγιστος+μέγιστος	|
G3174	μέγεθος	G3173	G3176+G3176	μέγιστος+μέγιστος	|
G3175	μεγιστᾶνες	G3176	G3176	μέγιστος	|
G3176	μέγιστος	G3173	G3176	μέγιστος	|
G3177	μεθερμηνεύω	G3326+G2059	G3326+G4482	μετά+ῥέω	|
G3178	μέθη		G3178	μέθη	|
G3179	μεθιστάνω	G3326+G2476	G3326+G2476	μετά+ἵστημι	|
G3180	μεθοδεία	G3326+G3593	G3326+G3598	μετά+ὁδός	|
G3181	μεθόριος	G3326+G3725	G3326+G3725	μετά+ὅριον	|
G3182	μεθύσκω	G3184	G3178	μέθη	|
G3183	μέθυσος	G3184	G3178	μέθη	|
G3184	μεθύω	G3178	G3178	μέθη	|
G3185	μεῖζον	G3187	G3176	μέγιστος	|
G3186	μειζότερος	G3187	G3176	μέγιστος	|
G3187	μείζων	G3173	G3176	μέγιστος	|
G3188	μέλαν	G3189	G3189	μέλας	|
G3189	μέλας		G3189	μέλας	|
G3190	Μελεᾶς		G3190	Μελεᾶς	|
G3191	μελετάω	G3199	G3199	μέλω	|
G3192	μέλι		G3192	μέλι	|
G3193	μελίσσιος	G3192	G3192	μέλι	|
G3194	Μελίτη		G3194	Μελίτη	|
G3195	μέλλω	G3199	G3199	μέλω	|
G3196	μέλος		G3196	μέλος	|
G3197	Μελχί	H4428	G3197	Μελχί	|
G3198	Μελχισεδέκ	H4442	G3198	Μελχισεδέκ	|
G3199	μέλω		G3199	μέλω	|
G3200	μεμβράνα		G3200	μεμβράνα	|
G3201	μέμφομαι		G3201	μέμφομαι	|
G3202	μεμψίμοιρος	G3201+G3313	G3201+G3313	μέμφομαι+μέρος	|
G3303	μέν		G3303	μέν	|
G3304	μενοῦνγε	G3303+G3767+G1065	G3303+G3767+G1065	μέν+οὖν+γέ	|
G3305	μέντοι	G3303+G5104	G3303+G3588	μέν+τό	|
G3306	μένω		G3306	μένω	|
G3307	μερίζω	G3313	G3313	μέρος	|
G3308	μέριμνα	G3307	G3313	μέρος	|
G3309	μεριμνάω	G3308	G3313	μέρος	|
G3310	μερίς	G3313	G3313	μέρος	|
G3311	μερισμός	G3307	G3313	μέρος	|
G3312	μεριστής	G3307	G3313	μέρος	|
G3313	μέρος		G3313	μέρος	|
G3314	μεσημβρία	G3319+G2250	G3326+G5610+G1476	μετά+ὥρα+ἑδραῖος	|
G3315	μεσιτεύω	G3316	G3326	μετά	|
G3316	μεσίτης	G3319	G3326	μετά	|
G3317	μεσονύκτιον	G3319+G3571	G3326+G3571	μετά+νύξ	|
G3318	Μεσοποταμία	G3319+G4215	G3326+G4095+G4095	μετά+πίνω+πίνω	|
G3319	μέσος	G3326	G3326	μετά	|
G3320	μεσότοιχον	G3319+G5109	G3326+G5088	μετά+τίκτω	|
G3321	μεσουράνημα	G3319+G3772	G3326+G142+G142	μετά+αἴρω+αἴρω	|
G3322	μεσόω	G3319	G3326	μετά	|
G3323	Μεσσίας	H4899	G3323	Μεσσίας	|
G3324	μεστός		G3324	μεστός	|
G3325	μεστόω	G3324	G3324	μεστός	|
G3326	μετά		G3326	μετά	|
G3327	μεταβαίνω	G3326+G939	G3326+G939	μετά+βάσις	|
G3328	μεταβάλλω	G3326+G906	G3326+G906	μετά+βάλλω	|
G3329	μετάγω	G3326+G718	G3326+G142+G1	μετά+αἴρω+ἄν	|
G3330	μεταδίδωμι	G3326+G1325	G3326+G1325	μετά+δίδωμι	|
G3331	μετάθεσις	G3346	G3326+G5087	μετά+τίθημι	|
G3332	μεταίρω	G3326+G142	G3326+G142	μετά+αἴρω	|
G3333	μετακαλέω	G3326+G2564	G3326+G2753	μετά+κελεύω	|
G3334	μετακινέω	G3326+G2795	G3326+G2795	μετά+κινέω	|
G3335	μεταλαμβάνω	G3326+G2983	G3326+G1209	μετά+δέχομαι	|
G3336	μετάλημψις	G3335	G3326+G1209	μετά+δέχομαι	|
G3337	μεταλλάσσω	G3326+G236	G3326+G243	μετά+ἄλλος	|
G3338	μεταμέλλομαι	G3326+G3199	G3326+G3199	μετά+μέλω	|
G3339	μεταμορφόω	G3326+G3445	G3326+G3313	μετά+μέρος	|
G3340	μετανοέω	G3326+G3539	G3326+G1097	μετά+γινώσκω	|
G3341	μετάνοια	G3340	G3326+G1097	μετά+γινώσκω	|
G3342	μεταξύ	G3326+G4862	G3326+G4862	μετά+σύν	|
G3343	μεταπέμπω	G3326+G3992	G3326+G3992	μετά+πέμπω	|
G3344	μεταστρέφω	G3326+G4762	G3326+G5157	μετά+τροπή	|
G3345	μετασχηματίζω	G3326+G4976	G3326+G2192	μετά+σχέω	|
G3346	μετατίθημι	G3326+G5087	G3326+G5087	μετά+τίθημι	|
G3347	μετέπειτα	G3326+G1899	G3326+G1909+G1534	μετά+ἐπί+εἶτα	|
G3348	μετέχω	G3326+G2192	G3326+G2192	μετά+σχέω	|
G3349	μετεωρίζω	G3326+G142+G109	G3326+G142+G109	μετά+αἴρω+ἀήρ	|
G3350	μετοικεσία	G3326+G3624	G3326+G3624	μετά+οἶκος	|
G3351	μετοικίζω	G3350	G3326+G3624	μετά+οἶκος	|
G3352	μετοχή	G3348	G3326+G2192	μετά+σχέω	|
G3353	μέτοχος	G3348	G3326+G2192	μετά+σχέω	|
G3354	μετρέω	G3358	G3358	μέτρον	|
G3355	μετρητής	G3354	G3358	μέτρον	|
G3356	μετριοπαθέω	G3357+G3806	G3358+G3958	μέτρον+πένθω	|
G3357	μετρίως	G3358	G3358	μέτρον	|
G3358	μέτρον		G3358	μέτρον	|
G3359	μέτωπον	G3326	G3326	μετά	|
G3360	μεχρίς	G3372	G3176+G3176	μέγιστος+μέγιστος	|
G3361	μή	G3756	G3756	οὐχ	|
G3362	ἐὰν μή	G1437+G3361	G1487+G302+G3756	εἰ+ἄν+οὐχ	|
G3363	ἵνα μή	G2443+G3361	G109+G3588+G3756	ἀήρ+τό+οὐχ	|
G3364	οὐ μή	G3756+G3361	G3756+G3756	οὐχ+οὐχ	|
G3365	μηδαμῶς	G3361	G3756	οὐχ	|
G3366	μηδέ	G3361+G1161	G3756+G1161	οὐχ+δέ	|
G3367	μηδέν	G3361+G1520	G3756+G1520	οὐχ+ἕν	|
G3368	μηδέποτε	G3366+G4218	G3756+G1161+G3588+G5037	οὐχ+δέ+τό+τέ	|
G3369	μηδέπω	G3366+G4452	G3756+G1161+G3588	οὐχ+δέ+τό	|
G3370	Μῆδος	H4074	G3370	Μῆδος	|
G3371	μηκέτι	G3361+G2089	G3756+G2094	οὐχ+ἔτος	|
G3372	μῆκος	G3173	G3176+G3176	μέγιστος+μέγιστος	|
G3373	μηκύνω	G3372	G3176+G3176	μέγιστος+μέγιστος	|
G3374	μηλωτή		G3374	μηλωτή	|
G3375	μήν	G3303	G3303	μέν	|
G3376	μήν		G3376	μήν	|
G3377	μηνύω	G3145+G3415	G3145+G3306+G3145	μασσάομαι+μένω+μασσάομαι	|
G3378	μὴ οὐκ	G3361+G3756	G3756+G3756	οὐχ+οὐχ	|
G3379	μή ποτε	G3361+G4218	G3756+G3588+G5037	οὐχ+τό+τέ	|
G3380	μήπω	G3361+G4452	G3756+G3588	οὐχ+τό	|
G3381	μή πως	G3361+G4458	G3756+G3588	οὐχ+τό	|
G3382	μηρός		G3382	μηρός	|
G3383	μήτε	G3361+G5037	G3756+G5037	οὐχ+τέ	|
G3384	μήτηρ		G3384	μήτηρ	|
G3385	μήτι	G3361+G5100	G3756+G5100	οὐχ+τὶς	|
G3386	μήτιγε	G3385+G1065	G3756+G5100+G1065	οὐχ+τὶς+γέ	|
G3387	μή τις	G3361+G5100	G3756+G5100	οὐχ+τὶς	|
G3388	μήτρα	G3384	G3384	μήτηρ	|
G3389	μητραλῴας	G3384+G257	G3384+G1507	μήτηρ+εἱλίσσω	|
G3390	μητρόπολις	G3384+G4172	G3384+G4171+G4183	μήτηρ+πόλεμος+πολύς	|
G3391	μία	G1520	G1520	ἕν	|
G3392	μιαίνω		G3392	μιαίνω	|
G3393	μίασμα	G3392	G3392	μιαίνω	|
G3394	μιασμός	G3392	G3392	μιαίνω	|
G3395	μίγμα	G3396	G3396	μίγνυμι	|
G3396	μίγνυμι		G3396	μίγνυμι	|
G3397	μικρόν	G3398	G3398	μικρότερος	|
G3398	μικρότερος		G3398	μικρότερος	|
G3399	Μίλητος		G3399	Μίλητος	|
G3400	μίλιον		G3400	μίλιον	|
G3401	μιμέομαι		G3401	μιμέομαι	|
G3402	μιμητής	G3401	G3401	μιμέομαι	|
G3403	μιμνήσκω	G3415	G3306+G3145	μένω+μασσάομαι	|
G3404	μισέω		G3404	μισέω	|
G3405	μισθαποδοσία	G3406	G3408+G575+G1325	μισθός+ἀπό+δίδωμι	|
G3406	μισθαποδότης	G3409+G591	G3408+G575+G1325	μισθός+ἀπό+δίδωμι	|
G3407	μίσθιος	G3408	G3408	μισθός	|
G3408	μισθός		G3408	μισθός	|
G3409	μισθόω	G3408	G3408	μισθός	|
G3410	μίσθωμα	G3409	G3408	μισθός	|
G3411	μισθωτός	G3409	G3408	μισθός	|
G3412	Μιτυλήνη		G3412	Μιτυλήνη	|
G3413	Μιχαήλ	H4317	G3413	Μιχαήλ	|
G3414	μνᾶ		G3414	μνᾶ	|
G3415	μνάομαι	G3306+G3145	G3306+G3145	μένω+μασσάομαι	|
G3416	Μνάσων		G3416	Μνάσων	|
G3417	μνεία	G3415+G3403	G3306+G3145+G3306+G3145	μένω+μασσάομαι+μένω+μασσάομαι	|
G3418	μνῆμα	G3415	G3306+G3145	μένω+μασσάομαι	|
G3419	μνημεῖον	G3420	G3306+G3145	μένω+μασσάομαι	|
G3420	μνήμη	G3403	G3306+G3145	μένω+μασσάομαι	|
G3421	μνημονεύω	G3420	G3306+G3145	μένω+μασσάομαι	|
G3422	μνημόσυνον	G3421	G3306+G3145	μένω+μασσάομαι	|
G3423	μνηστεύω	G3415	G3306+G3145	μένω+μασσάομαι	|
G3424	μογιλάλος	G3425+G2980	G3425+G2980	μόγις+λαλέω	|
G3425	μόγις		G3425	μόγις	|
G3426	μόδιος		G3426	μόδιος	|
G3427	μοί	G1698	G3427	μοί	|
G3428	μοιχαλίς	G3432	G3432	μοιχός	|
G3429	μοιχάω	G3432	G3432	μοιχός	|
G3430	μοιχεία	G3431	G3432	μοιχός	|
G3431	μοιχεύω	G3432	G3432	μοιχός	|
G3432	μοιχός		G3432	μοιχός	|
G3433	μόλις	G3425	G3425	μόγις	|
G3434	Μολόχ	H4432	G3434	Μολόχ	|
G3435	μολύνω	G3189	G3189	μέλας	|
G3436	μολυσμός	G3435	G3189	μέλας	|
G3437	μομφή	G3201	G3201	μέμφομαι	|
G3438	μονή	G3306	G3306	μένω	|
G3439	μονογενής	G3441+G1096	G3306+G1096	μένω+γίνομαι	|
G3440	μόνον	G3441	G3306	μένω	|
G3441	μόνος	G3306	G3306	μένω	|
G3442	μονόφθαλμος	G3441+G3788	G3306+G3708	μένω+ὁράω	|
G3443	μονόω	G3441	G3306	μένω	|
G3444	μορφή	G3313	G3313	μέρος	|
G3445	μορφόω	G3444	G3313	μέρος	|
G3446	μόρφωσις	G3445	G3313	μέρος	|
G3447	μοσχοποιέω	G3448+G4160	G3448+G4160	μόσχος+ποιέω	|
G3448	μόσχος		G3448	μόσχος	|
G3449	μόχθος	G3425	G3425	μόγις	|
G3450	μοῦ	G1700	G3425	μόγις	|
G3451	μουσικός		G3451	μουσικός	|
G3452	μυελός		G3452	μυελός	|
G3453	μυέω	G3466	G3466	μυστήριον	|
G3454	μῦθος	G3453	G3466	μυστήριον	|
G3455	μυκάομαι		G3455	μυκάομαι	|
G3456	μυκτηρίζω	G3455	G3455	μυκάομαι	|
G3457	μυλικός	G3458	G3425	μόγις	|
G3458	μύλος	G3433	G3425	μόγις	|
G3459	μύλων	G3458	G3425	μόγις	|
G3460	Μύρα		G3460	Μύρα	|
G3461	μυριάς	G3463	G3463	μύριοι	|
G3462	μυρίζω	G3464	G4666	σμύρνα	|
G3463	μύριοι		G3463	μύριοι	|
G3464	μύρον	H4753+G4666	G4666	σμύρνα	|
G3465	Μυσία		G3465	Μυσία	|
G3466	μυστήριον		G3466	μυστήριον	|
G3467	μυωπάζω	G3466+G3700	G3466+G3708	μυστήριον+ὁράω	|
G3468	μώλωψ		G3468	μώλωψ	|
G3469	μωμάομαι	G3470	G3201	μέμφομαι	|
G3470	μῶμος	G3201	G3201	μέμφομαι	|
G3471	μωραίνω	G3474	G3466	μυστήριον	|
G3472	μωρία	G3474	G3466	μυστήριον	|
G3473	μωρολογία	G3474+G3004	G3466+G3004	μυστήριον+λέγω	|
G3474	μωρός	G3466	G3466	μυστήριον	|
G3475	Μωϋσῆς	H4872	G3475	Μωϋσῆς	|
G3476	Ναασσών	H5177	G3476	Ναασσών	|
G3477	Ναγγαί	H5052	G3477	Ναγγαί	|
G3478	Ναζαρέτ		G3478	Ναζαρέτ	|
G3479	Ναζαρηνός	G3478	G3478	Ναζαρέτ	|
G3480	Ναζωραῖος	G3478	G3478	Ναζαρέτ	|
G3481	Ναθάν	H5416	G3481	Ναθάν	|
G3482	Ναθαναήλ	H5417	G3482	Ναθαναήλ	|
G3483	ναί		G3483	ναί	|
G3484	Ναΐν	H4999	G3484	Ναΐν	|
G3485	ναός		G3485	ναός	|
G3486	Ναούμ	H5151	G3486	Ναούμ	|
G3487	νάρδος	H5373	G3487	νάρδος	|
G3488	Νάρκισσος		G3488	Νάρκισσος	|
G3489	ναυαγέω	G3491+G71	G3491+G71	ναῦς+ἄγω	|
G3490	ναύκληρος	G3491+G2819	G3491+G2806	ναῦς+κλάω	|
G3491	ναῦς		G3491	ναῦς	|
G3492	ναύτης	G3491	G3491	ναῦς	|
G3493	Ναχώρ	H5152	G3493	Ναχώρ	|
G3494	νεανίας	G3501	G3501	νέος	|
G3495	νεανίσκος	G3494	G3501	νέος	|
G3496	Νεάπολις	G3501+G4172	G3501+G4171+G4183	νέος+πόλεμος+πολύς	|
G3497	Νεεμάν	H5283	G3497	Νεεμάν	|
G3498	νεκρός		G3498	νεκρός	|
G3499	νεκρόω	G3498	G3498	νεκρός	|
G3500	νέκρωσις	G3499	G3498	νεκρός	|
G3501	νέος		G3501	νέος	|
G3502	νεοσσός	G3501	G3501	νέος	|
G3503	νεότης	G3501	G3501	νέος	|
G3504	νεόφυτος	G3501+G5453	G3501+G5453	νέος+φύω	|
G3505	Νέρων		G3505	Νέρων	|
G3506	νεύω		G3506	νεύω	|
G3507	νεφέλη	G3509	G3509	νέφος	|
G3508	Νεφθαλείμ	H5321	G3508	Νεφθαλείμ	|
G3509	νέφος		G3509	νέφος	|
G3510	νεφρός		G3510	νεφρός	|
G3511	νεωκόρος	G3485	G3485	ναός	|
G3512	νεωτερικός	G3501	G3501	νέος	|
G3513	νή	G3483	G3483	ναί	|
G3514	νήθω		G3514	νήθω	|
G3515	νηπιάζω	G3516	G4482+G4482+G5346	ῥέω+ῥέω+φημί	|
G3516	νήπιος	G2031	G4482+G4482+G5346	ῥέω+ῥέω+φημί	|
G3517	Νηρεύς	G3491	G3491	ναῦς	|
G3518	Νηρί	H5374	G3518	Νηρί	|
G3519	νησίον	G3520	G3491	ναῦς	|
G3520	νῆσος	G3491	G3491	ναῦς	|
G3521	νηστεία	G3522	G2068	ἐσθίω	|
G3522	νηστεύω	G3523	G2068	ἐσθίω	|
G3523	νῆστις	G2068	G2068	ἐσθίω	|
G3524	νηφάλιος	G3525	G3525	νήφω	|
G3525	νήφω		G3525	νήφω	|
G3526	Νίγερ		G3526	Νίγερ	|
G3527	Νικάνωρ	G3528	G3529	νίκη	|
G3528	νικάω	G3529	G3529	νίκη	|
G3529	νίκη		G3529	νίκη	|
G3530	Νικόδημος	G3534+G1218	G3529+G1210	νίκη+δέω	|
G3531	Νικολαΐτης	G3532	G3529+G2992	νίκη+λαός	|
G3532	Νικόλαος	G3534+G2992	G3529+G2992	νίκη+λαός	|
G3533	Νικόπολις	G3534+G4172	G3529+G4171+G4183	νίκη+πόλεμος+πολύς	|
G3534	νῖκος	G3529	G3529	νίκη	|
G3535	Νινευΐ	H5210	G3535	Νινευΐ	|
G3536	Νινευΐτης	G3535	G3535	Νινευΐ	|
G3537	νιπτήρ	G3538	G3538	νίπτω	|
G3538	νίπτω		G3538	νίπτω	|
G3539	νοιέω	G3563	G1097	γινώσκω	|
G3540	νόημα	G3539	G1097	γινώσκω	|
G3541	νόθος		G3541	νόθος	|
G3542	νομή	G3551	G3551	νόμος	|
G3543	νομίζω	G3551	G3551	νόμος	|
G3544	νομικός	G3551	G3551	νόμος	|
G3545	νομίμως	G3551	G3551	νόμος	|
G3546	νόμισμα	G3543	G3551	νόμος	|
G3547	νομοδιδάσκαλος	G3551+G1320	G3551+G1321	νόμος+διδάσκω	|
G3548	νομοθεσία	G3550	G3551+G5087	νόμος+τίθημι	|
G3549	νομοθετέω	G3550	G3551+G5087	νόμος+τίθημι	|
G3550	νομοθέτης	G3551+G5087	G3551+G5087	νόμος+τίθημι	|
G3551	νόμος		G3551	νόμος	|
G3552	νοσέω	G3554	G3554	νόσος	|
G3553	νόσημα	G3552	G3554	νόσος	|
G3554	νόσος		G3554	νόσος	|
G3555	νοσσιά	G3502	G3501	νέος	|
G3556	νοσσίον	G3502	G3501	νέος	|
G3557	νοσφίζομαι		G3557	νοσφίζομαι	|
G3558	νότος		G3558	νότος	|
G3559	νουθεσία	G3563+G5087	G1097+G5087	γινώσκω+τίθημι	|
G3560	νουθετέω	G3559	G1097+G5087	γινώσκω+τίθημι	|
G3561	νουμηνία	G3501+G3376+G2250	G3501+G3376+G5610+G1476	νέος+μήν+ὥρα+ἑδραῖος	|
G3562	νουνεχῶς	G3563+G2192	G1097+G2192	γινώσκω+σχέω	|
G3563	νοῦς	G1097	G1097	γινώσκω	|
G3564	Νυμφᾶς	G3565+G1435	G3565+G1435	νύμφη+δῶρον	|
G3565	νύμφη		G3565	νύμφη	|
G3566	νυμφίος	G3565	G3565	νύμφη	|
G3567	νυμφών	G3565	G3565	νύμφη	|
G3568	νῦν		G3568	νῦν	|
G3569	τὰ νῦν	G3588+G3568	G3588+G3568	τό+νῦν	|
G3570	νυνί	G3568	G3568	νῦν	|
G3571	νύξ		G3571	νύξ	|
G3572	νύσσω		G3572	νύσσω	|
G3573	νυστάζω	G3506	G3506	νεύω	|
G3574	νυχθήμερον	G3571+G2250	G3571+G5610+G1476	νύξ+ὥρα+ἑδραῖος	|
G3575	Νῶε	H5146	G3575	Νῶε	|
G3576	νωθρός	G3541	G3541	νόθος	|
G3577	νῶτος		G3577	νῶτος	|
G3578	ξενία	G3581	G3581	ξένος	|
G3579	ξενίζω	G3581	G3581	ξένος	|
G3580	ξενοδοχέω	G3581+G1209	G3581+G1209	ξένος+δέχομαι	|
G3581	ξένος		G3581	ξένος	|
G3582	ξέστης		G3582	ξέστης	|
G3583	ξηραίνω	G3584	G3582	ξέστης	|
G3584	ξηρός	G3582	G3582	ξέστης	|
G3585	ξύλινος	G3586	G3582	ξέστης	|
G3586	ξύλον	G3582	G3582	ξέστης	|
G3587	ξυράω	G3586	G3582	ξέστης	|
G3588	τό		G3588	τό	|
G3589	ὀγδοήκοντα	G3590	G3638	ὀκτώ	|
G3590	ὄγδοος	G3638	G3638	ὀκτώ	|
G3591	ὄγκος	G43	G43	ἀγκάλη	|
G3592	τόδε	G3588+G1161	G3588+G1161	τό+δέ	|
G3593	ὁδεύω	G3598	G3598	ὁδός	|
G3594	ὁδηγέω	G3595	G3598+G71	ὁδός+ἄγω	|
G3595	ὁδηγός	G3598+G2233	G3598+G71	ὁδός+ἄγω	|
G3596	ὁδοιπορέω	G3598+G4198	G3598+G4008	ὁδός+πέραν	|
G3597	ὁδοιπορία	G3596	G3598+G4008	ὁδός+πέραν	|
G3598	ὁδός		G3598	ὁδός	|
G3599	ὀδούς	G2068	G2068	ἐσθίω	|
G3600	ὀδυνάω	G3601	G1416	δῦμι	|
G3601	ὀδύνη	G1416	G1416	δῦμι	|
G3602	ὀδυρμός	G1416	G1416	δῦμι	|
G3603	ὅ ἐστι	G3739+G1510	G3588+G1510	τό+εἰμί	|
G3604	Ὀζίας	H5818	G3604	Ὀζίας	|
G3605	ὄζω		G3605	ὄζω	|
G3606	ὅθεν	G3739	G3588	τό	|
G3607	ὀθόνη		G3607	ὀθόνη	|
G3608	ὀθόνιον	G3607	G3607	ὀθόνη	|
G3609	οἰκεῖος	G3624	G3624	οἶκος	|
G3610	οἰκέτης	G3611	G3624	οἶκος	|
G3611	οἰκέω	G3624	G3624	οἶκος	|
G3612	οἴκημα	G3611	G3624	οἶκος	|
G3613	οἰκητήριον	G3611+G3612	G3624+G3624	οἶκος+οἶκος	|
G3614	οἰκία	G3624	G3624	οἶκος	|
G3615	οἰκιακός	G3614	G3624	οἶκος	|
G3616	οἰκοδεσποτέω	G3617	G3624+G1210	οἶκος+δέω	|
G3617	οἰκοδεσπότης	G3624+G1203	G3624+G1210	οἶκος+δέω	|
G3618	οἰκοδομέω	G3619	G3624+G1430	οἶκος+δῶμα	|
G3619	οἰκοδομή	G3624+G1430	G3624+G1430	οἶκος+δῶμα	|
G3620	οἰκοδομία	G3619	G3624+G1430	οἶκος+δῶμα	|
G3621	οἰκονομέω	G3623	G3624+G3551	οἶκος+νόμος	|
G3622	οἰκονομία	G3623	G3624+G3551	οἶκος+νόμος	|
G3623	οἰκονόμος	G3624+G3551	G3624+G3551	οἶκος+νόμος	|
G3624	οἶκος		G3624	οἶκος	|
G3625	οἰκουμένη	G3611+G1093	G3624+G1093	οἶκος+γῆ	|
G3626	οἰκουρός	G3624	G3624	οἶκος	|
G3627	οἰκτερέω		G3627	οἰκτερέω	|
G3628	οἰκτιρμός	G3627	G3627	οἰκτερέω	|
G3629	οἰκτίρμων	G3627	G3627	οἰκτερέω	|
G3630	οἰνοπότης	G3631+G4095	G3631+G4095	οἶνος+πίνω	|
G3631	οἶνος	H3196	G3631	οἶνος	|
G3632	οἰνοφλυγία	G3631+G5397	G3631+G5397	οἶνος+φλύαρος	|
G3633	οἶμαι	G3634	G3588+G3588+G3588	τό+τό+τό	|
G3634	οἷος	G3588+G3739+G3745	G3588+G3588+G3588	τό+τό+τό	|
G3635	ὀκνέω		G3635	ὀκνέω	|
G3636	ὀκνηρός	G3635	G3635	ὀκνέω	|
G3637	ὀκταήμερος	G3638+G2250	G3638+G5610+G1476	ὀκτώ+ὥρα+ἑδραῖος	|
G3638	ὀκτώ		G3638	ὀκτώ	|
G3639	ὄλεθρος		G3639	ὄλεθρος	|
G3640	ὀλιγόπιστος	G3641+G4102	G3641+G3982	ὀλίγος+πείθω	|
G3641	ὀλίγος		G3641	ὀλίγος	|
G3642	ὀλιγόψυχος	G3641+G5590	G3641+G5594	ὀλίγος+ψύχω	|
G3643	ὀλιγωρέω	G3641	G3641	ὀλίγος	|
G3644	ὀλοθρευτής	G3645	G3639	ὄλεθρος	|
G3645	ὀλοθρεύω	G3639	G3639	ὄλεθρος	|
G3646	ὁλοκαύτωμα	G3650+G2545	G3650+G2545	ὅλος+καίω	|
G3647	ὁλοκληρία	G3648	G3650+G2806	ὅλος+κλάω	|
G3648	ὁλόκληρος	G3650+G2819	G3650+G2806	ὅλος+κλάω	|
G3649	ὀλολύζω		G3649	ὀλολύζω	|
G3650	ὅλος		G3650	ὅλος	|
G3651	ὁλοτελής	G3650+G5056	G3650+G5056	ὅλος+τέλος	|
G3652	Ὀλυμπᾶς		G3652	Ὀλυμπᾶς	|
G3653	ὄλυνθος		G3653	ὄλυνθος	|
G3654	ὅλως	G3650	G3650	ὅλος	|
G3655	ὄμβρος		G3655	ὄμβρος	|
G3656	ὁμιλέω	G3658	G3674+G142	ὁμοῦ+αἴρω	|
G3657	ὁμιλία	G3658	G3674+G142	ὁμοῦ+αἴρω	|
G3658	ὅμιλος	G3674+G138	G3674+G142	ὁμοῦ+αἴρω	|
G3659	ὄμμα	G3700	G3708	ὁράω	|
G3660	ὀμνύω		G3660	ὀμνύω	|
G3661	ὁμοθυμαδόν	G3674+G2372	G3674+G2380	ὁμοῦ+θύω	|
G3662	ὁμοιάζω	G3664	G3674	ὁμοῦ	|
G3663	ὁμοιοπαθής	G3664+G3958	G3674+G3958	ὁμοῦ+πένθω	|
G3664	ὅμοιος	G3674	G3674	ὁμοῦ	|
G3665	ὁμοιότης	G3664	G3674	ὁμοῦ	|
G3666	ὁμοιόω	G3664	G3674	ὁμοῦ	|
G3667	ὁμοίωμα	G3666	G3674	ὁμοῦ	|
G3668	ὁμοίως	G3664	G3674	ὁμοῦ	|
G3669	ὁμοίωσις	G3666	G3674	ὁμοῦ	|
