G181	ἀκαταστασία	G182	G1+G2596+G2476	ἄν+κατά+ἵστημι	|
G182	ἀκατάστατος	G1+G2525	G1+G2596+G2476	ἄν+κατά+ἵστημι	|
G183	ἀκατάσχετος	G1+G2722	G1+G2596+G2192	ἄν+κατά+σχέω	|
G184	Ἀκελδαμά		G184	Ἀκελδαμά	|
G185	ἀκέραιος	G1+G2767	G1+G2767	ἄν+κεράννυμι	|
G186	ἀκλινής	G1+G2827	G1+G2827	ἄν+κλίνω	|
G187	ἀκμάζω	G188	G188	ἀκμήν	|
G188	ἀκμήν		G188	ἀκμήν	|
G189	ἀκοή	G191	G191	ἀκούω	|
G190	ἀκολουθέω	G1	G1	ἄν	|
G191	ἀκούω		G191	ἀκούω	|
G192	ἀκρασία	G193	G1+G2904	ἄν+κράτος	|
G193	ἀκρατής	G1+G2904	G1+G2904	ἄν+κράτος	|
G194	ἄκρατος	G1+G2767	G1+G2767	ἄν+κεράννυμι	|
G195	ἀκρίβεια	G196	G188	ἀκμήν	|
G196	ἀκριβέστατος	G206	G188	ἀκμήν	|
G197	ἀκριβέστερον	G196	G188	ἀκμήν	|
G198	ἀκριβόω	G196	G188	ἀκμήν	|
G199	ἀκριβῶς	G196	G188	ἀκμήν	|
G200	ἀκρίς	G206	G188	ἀκμήν	|
G201	ἀκροατήριον	G202	G191	ἀκούω	|
G202	ἀκροατής	G191	G191	ἀκούω	|
G203	ἀκροβυστία	G206	G188	ἀκμήν	|
G204	ἀκρογωνιαῖος	G206+G1137	G188+G1119	ἀκμήν+γόνυ	|
G205	ἀκροθίνιον	G206	G188	ἀκμήν	|
G206	ἄκρον	G188	G188	ἀκμήν	|
G207	Ἀκύλας		G207	Ἀκύλας	|
G208	ἀκυρόω	G1+G2964	G1+G2962	ἄν+κύριος	|
G209	ἀκωλύτως	G1+G2967	G1+G2849	ἄν+κολάζω	|
G210	ἄκων	G1+G1635	G1+G1635	ἄν+ἑκών	|
G211	ἀλάβαστρον		G211	ἀλάβαστρον	|
G212	ἀλαζονεία	G213	G213	ἀλαζών	|
G213	ἀλαζών		G213	ἀλαζών	|
G214	ἀλαλάζω		G214	ἀλαλάζω	|
G215	ἀλάλητος	G1+G2980	G1+G2980	ἄν+λαλέω	|
G216	ἄλαλος	G1+G2980	G1+G2980	ἄν+λαλέω	|
G217	ἅλας	G251	G251	ἅλς	|
G218	ἀλείφω	G1+G3045	G1+G3045	ἄν+λιπαρός	|
G219	ἀλεκτοροφωνία	G220+G5456	G220+G5346	ἀλέκτωρ+φημί	|
G220	ἀλέκτωρ		G220	ἀλέκτωρ	|
G221	Ἀλεξανδρεύς		G221	Ἀλεξανδρεύς	|
G222	Ἀλεξανδρῖνος	G221	G221	Ἀλεξανδρεύς	|
G223	Ἀλέξανδρος	G220+G435	G220+G3708	ἀλέκτωρ+ὁράω	|
G224	ἄλευρον		G224	ἄλευρον	|
G225	ἀλήθεια	G227	G1+G2990	ἄν+λανθάνω	|
G226	ἀληθεύω	G227	G1+G2990	ἄν+λανθάνω	|
G227	ἀληθής	G1+G2990	G1+G2990	ἄν+λανθάνω	|
G228	ἀληθινός	G227	G1+G2990	ἄν+λανθάνω	|
G229	ἀλήθω	G224	G224	ἄλευρον	|
G230	ἀληθῶς	G227	G1+G2990	ἄν+λανθάνω	|
G231	ἁλιεύς	G251	G251	ἅλς	|
G232	ἁλιεύω	G231	G251	ἅλς	|
G233	ἁλίζω	G251	G251	ἅλς	|
G234	ἀλίσγεμα		G234	ἀλίσγεμα	|
G235	ἀλλά	G243	G243	ἄλλος	|
G236	ἀλλάσσω	G243	G243	ἄλλος	|
G237	ἀλλαχόθεν	G243	G243	ἄλλος	|
G238	ἀλληγορέω	G243+G58	G243+G1453	ἄλλος+ἐγείρω	|
G239	ἀλληλουϊα	H1984+H3050	G239	ἀλληλουϊα	|
G240	ἀλλήλων	G243	G243	ἄλλος	|
G241	ἀλλογενής	G243+G1085	G243+G1096	ἄλλος+γίνομαι	|
G242	ἅλλομαι		G242	ἅλλομαι	|
G243	ἄλλος		G243	ἄλλος	|
G244	ἀλλοτριεπίσκοπος	G245+G1985	G243+G1909+G4649+G1909+G4649	ἄλλος+ἐπί+σκοπός+ἐπί+σκοπός	|
G245	ἀλλότριος	G243	G243	ἄλλος	|
G246	ἀλλόφυλος	G243+G5443	G243+G5453+G5453	ἄλλος+φύω+φύω	|
G247	ἄλλως	G243	G243	ἄλλος	|
G248	ἀλοάω	G257	G1507	εἱλίσσω	|
G249	ἄλογος	G1+G3056	G1+G3004	ἄν+λέγω	|
G250	ἀλόη	G174	G188	ἀκμήν	|
G251	ἅλς		G251	ἅλς	|
G252	ἁλυκός	G251	G251	ἅλς	|
G253	ἀλυπότερος	G1+G3077	G1+G3077	ἄν+λύπη	|
G254	ἅλυσις		G254	ἅλυσις	|
G255	ἀλυσιτελής	G1+G3081	G1+G3089+G5056	ἄν+λύω+τέλος	|
G256	Ἀλφαῖος	H2501	G256	Ἀλφαῖος	|
G257	ἅλων	G1507	G1507	εἱλίσσω	|
G258	ἀλώπηξ		G258	ἀλώπηξ	|
G259	ἅλωσις	G138	G142	αἴρω	|
G260	ἅμα		G260	ἅμα	|
G261	ἀμαθής	G1+G3129	G1+G3129	ἄν+μανθάνω	|
G262	ἀμαράντινος	G263	G1+G3133	ἄν+μαραίνω	|
G263	ἀμάραντος	G1+G3133	G1+G3133	ἄν+μαραίνω	|
G264	ἁμαρτάνω	G1+G3313	G1+G3313	ἄν+μέρος	|
G265	ἁμάρτημα	G264	G1+G3313	ἄν+μέρος	|
G266	ἁμαρτία	G264	G1+G3313	ἄν+μέρος	|
G267	ἀμάρτυρος	G1+G3144	G1+G3144	ἄν+μάρτυς	|
G268	ἁμαρτωλός	G264	G1+G3313	ἄν+μέρος	|
G269	ἄμαχος	G1+G3163	G1+G3164	ἄν+μάχομαι	|
G270	ἀμάω	G260	G260	ἅμα	|
G271	ἀμέθυστος	G1+G3184	G1+G3178	ἄν+μέθη	|
G272	ἀμελέω	G1+G3199	G1+G3199	ἄν+μέλω	|
G273	ἄμεμπτος	G1+G3201	G1+G3201	ἄν+μέμφομαι	|
G274	ἀμέμπτως	G273	G1+G3201	ἄν+μέμφομαι	|
G275	ἀμέριμνος	G1+G3308	G1+G3313	ἄν+μέρος	|
G276	ἀμετάθετος	G1+G3346	G1+G3326+G5087	ἄν+μετά+τίθημι	|
G277	ἀμετακίνητος	G1+G3334	G1+G3326+G2795	ἄν+μετά+κινέω	|
G278	ἀμεταμέλητος	G1+G3338	G1+G3326+G3199	ἄν+μετά+μέλω	|
G279	ἀμετανόητος	G1+G3340	G1+G3326+G1097	ἄν+μετά+γινώσκω	|
G280	ἄμετρος	G1+G3358	G1+G3358	ἄν+μέτρον	|
G281	ἀμήν	H543	G281	ἀμήν	|
G282	ἀμήτωρ	G1+G3384	G1+G3384	ἄν+μήτηρ	|
G283	ἀμίαντος	G1+G3392	G1+G3392	ἄν+μιαίνω	|
G284	Ἀμιναδάβ	H5992	G284	Ἀμιναδάβ	|
G285	ἄμμος	G260	G260	ἅμα	|
G286	ἀμνός		G286	ἀμνός	|
G287	ἀμοιβή		G287	ἀμοιβή	|
G288	ἄμπελος	G297+G257	G297+G1507	ἀμφότερος+εἱλίσσω	|
G289	ἀμπελουργός	G288+G2041	G297+G1507+G2041	ἀμφότερος+εἱλίσσω+ἔργον	|
G290	ἀμπελών	G288	G297+G1507	ἀμφότερος+εἱλίσσω	|
G291	Ἀμπλίας		G291	Ἀμπλίας	|
G292	ἀμύνομαι		G292	ἀμύνομαι	|
G293	ἀμφίβληστρον	G297+G906	G297+G906	ἀμφότερος+βάλλω	|
G294	ἀμφιέννυμι	G297	G297	ἀμφότερος	|
